review_id,rating_date,employee_length,employee_status,employee_type,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,career_opportunities_rating,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_senior_leadership,rating_compensation_benefits,cleaned_text,sentiment_polarity,sentiment_subjectivity,sentiment_label,platform,S No.,Link,Upload Date,Views,Likes,Comments,Transcript/Transcript Link,Theme,segment
16.0,2025-04-24T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NEGATIVE,DISAPPROVE,NEGATIVE,1.0,1.0,2.0,3.0,,"Hamilton, ON",Order Picker,lose hiring bias know mean,people great,fired without notification one day badge didnt work wasting time bus fare,1.0,3.0,people great fired without notification one day badge didnt work wasting time bus fare,0.8,0.75,positive,Glassdoor,,,,,,,,,Full-Time Picker/Packer
17.0,2025-04-24T00:00:00.000Z,1,PART_TIME,"Former employee, less than 1 year",NAN,NAN,NAN,5.0,0.0,5.0,0.0,,,Project Management Intern,,quality work lot learn,contract extenscion hard find anything amazon,0.0,4.0,quality work lot learn contract extenscion hard find anything amazon,-0.2916666667,0.5416666667,negative,Glassdoor,,,,,,,,,Other
18.0,2025-04-23T00:00:00.000Z,2,REGULAR,Current employees,POSITIVE,APPROVE,POSITIVE,5.0,5.0,3.0,3.0,,"Ottawa, ON",Associate,,nice start students,long term job,5.0,5.0,nice start students long term job,0.275,0.7,positive,Glassdoor,,,,,,,,Burnout,Full-Time Associate
19.0,2025-04-21T00:00:00.000Z,0,PART_TIME,Current employee,NAN,NAN,NAN,0.0,0.0,4.0,0.0,,"Durham, NC",Warehouse Associate,,flexible schedule felx,work feel repetitive boring,0.0,0.0,flexible schedule felx work feel repetitive boring,-0.625,0.625,negative,Glassdoor,,,,,,,,Burnout,Other
20.0,2025-04-19T00:00:00.000Z,2,REGULAR,Current employees,NEUTRAL,NO_OPINION,POSITIVE,5.0,5.0,4.0,5.0,,"Reno, NV",Production,,nice place work nice hours night shift 630pm5am upt pto vacation,favoritism like job,5.0,4.0,nice place work nice hours night shift 630pm5am upt pto vacation favoritism like job,0.6,1.0,positive,Glassdoor,,,,,,,,"Management, Benefits",Other
21.0,2025-04-16T00:00:00.000Z,2,REGULAR,Former employees,NEGATIVE,NO_OPINION,NEGATIVE,3.0,4.0,3.0,1.0,,"Chicago, IL",Driver,get better scheduling,peak season good pay great hours,peak season leave struggling,4.0,3.0,peak season good pay great hours peak season leave struggling,0.75,0.675,positive,Glassdoor,,,,,,,,Benefits,Other
22.0,2025-04-15T00:00:00.000Z,4,REGULAR,Current employees,NAN,NAN,NEGATIVE,5.0,5.0,4.0,2.0,,"Cambridge, ON",Process Assistant,,good pay process assistant,bit stressful honest tight workload station,3.0,4.0,good pay process assistant bit stressful honest tight workload station,0.3738095238,0.5952380952,positive,Glassdoor,,,,,,,,"Burnout, Benefits",Other
23.0,2025-04-11T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NEGATIVE,DISAPPROVE,NEGATIVE,1.0,1.0,1.0,1.0,,Winsen (Luhe),Area Manager,das management gibt vor sich um sie zu kümmern und sie kennen zu lernen und ihnen zu helfen wirklichkeit geht es aber darum sie auszubeuten und der schwebe zu halten,die bezahlung und die berufliche entwicklung die man durch die begegnung mit vielen menschen und das erlernen neuer prozesse erfährt,dieser fc werden mitarbeiter und neueinstellungen wie nummern behandelt und sie versuchen dich loszuwerden wenn du ihren toxischen standards nicht mit den niedrigsten manieren gerecht wirst,1.0,4.0,die bezahlung und die berufliche entwicklung die man durch die begegnung mit vielen menschen und das erlernen neuer prozesse erfährt dieser fc werden mitarbeiter und neueinstellungen wie nummern behandelt und sie versuchen dich loszuwerden wenn du ihren toxischen standards nicht mit den niedrigsten manieren gerecht wirst,0.0,0.0,negative,Glassdoor,,,,,,,,,Management
24.0,2025-04-09T00:00:00.000Z,2,REGULAR,Former employees,POSITIVE,APPROVE,POSITIVE,5.0,5.0,4.0,4.0,,"Barrhaven, ON",Fulfillment Associate,,wage increase 3 6 12 month great fulltime benefits work perks discount venngo,warehouse repetitive work corporation like layout dull great people management,4.0,5.0,wage increase 3 6 12 month great fulltime benefits work perks discount venngo warehouse repetitive work corporation like layout dull great people management,0.2645833333,0.5625,positive,Glassdoor,,,,,,,,"Burnout, Management, Benefits",Full-Time Associate
25.0,2025-04-08T00:00:00.000Z,2,REGULAR,Current employees,NAN,NAN,NAN,4.0,2.0,4.0,3.0,,"Hamilton, ON",Associate,,good wages warehouse associate,working environment gets little bit noisy,5.0,5.0,good wages warehouse associate working environment gets little bit noisy,0.25625,0.55,positive,Glassdoor,,,,,,,,Infrastructure,Full-Time Associate
26.0,2025-04-02T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",NEGATIVE,DISAPPROVE,NEGATIVE,1.0,1.0,1.0,1.0,,"Saint Peters, MO",Picker,,always hours available anytime pay,long hours minimal light write bathroom breaks mandatory overtime little heads place drains emotionally physically,1.0,1.0,always hours available anytime pay long hours minimal light write bathroom breaks mandatory overtime little heads place drains emotionally physically,0.07708333333,0.4571428571,negative,Glassdoor,,,,,,,,Burnout,Full-Time Picker/Packer
27.0,2025-04-01T00:00:00.000Z,0,PART_TIME,Current employee,NAN,NAN,NAN,0.0,0.0,4.0,0.0,,"Corona, CA",Warehouse,,easy starter job work,fast paced employment depends management,0.0,0.0,easy starter job work fast paced employment depends management,0.3166666667,0.7166666667,positive,Glassdoor,,,,,,,,Management,Other
28.0,2025-03-31T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,3.0,3.0,3.0,5.0,,Illescas,Mozo de almac%C3%A9n,,seguridad compañerismo comodidad rotativos adaptabilidad,trabajo cansado fines de semana posibilidad de cobrar más,3.0,3.0,seguridad compañerismo comodidad rotativos adaptabilidad trabajo cansado fines de semana posibilidad de cobrar más,0.0,0.0,negative,Glassdoor,,,,,,,,,Other
29.0,2025-03-31T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0.0,0.0,4.0,0.0,,"San Bernardino, CA",Inbound Stower,,benefits bad pay,cons easy work people complain,0.0,0.0,benefits bad pay cons easy work people complain,-0.1333333333,0.75,negative,Glassdoor,,,,,,,,Benefits,Full-Time Stower
30.0,2025-03-31T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",NAN,NAN,NAN,0.0,0.0,5.0,0.0,,"Aurora, CO",Warehouse Associate,,flexible schedule 4 day10 hour shifts low stress environment frequent overtime opportunity,monotonous work particularly rewarding work work become slow january may,0.0,0.0,flexible schedule 4 day10 hour shifts low stress environment frequent overtime opportunity monotonous work particularly rewarding work work become slow january may,0.075,0.5,negative,Glassdoor,,,,,,,,"Burnout, Infrastructure",Full-Time Associate
32.0,2025-03-27T00:00:00.000Z,2,REGULAR,Current employees,NEGATIVE,APPROVE,NEGATIVE,3.0,4.0,3.0,3.0,,"Ottawa, ON",Process Associate,try focus employee engagement break barriers community race personal biases give opportunities employees grow rather nurturing neo slavery attitude many associates skilled experienced working warehouse due personal situation leadership give opportunity optimize skills experience rather taking advantage utilizing labor works,best class work environment experience working robotic environment competitive work benefits accommodations,much physical work much job security pressure target work negatively impact physical mental health biased leadership justify experience skills ability personal connections nepotism works training promotion preferred job roles,2.0,3.0,best class work environment experience working robotic environment competitive work benefits accommodations much physical work much job security pressure target work negatively impact physical mental health biased leadership justify experience skills ability personal connections nepotism works training promotion preferred job roles,0.0875,0.2357142857,negative,Glassdoor,,,,,,,,"Burnout, Infrastructure, Management, Benefits",Full-Time Associate
33.0,2025-03-26T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NEUTRAL,APPROVE,POSITIVE,0.0,0.0,4.0,0.0,,"Edgemere, MD",Order Picker,,good benefits decent time opportunities automatic hire without interview,management move around building lot top performer order picking moved pack nearly every day,0.0,0.0,good benefits decent time opportunities automatic hire without interview management move around building lot top performer order picking moved pack nearly every day,0.3666666667,0.5416666667,positive,Glassdoor,,,,,,,,"Management, Benefits",Full-Time Picker/Packer
34.0,2025-03-26T00:00:00.000Z,1,PART_TIME,"Former employee, less than 1 year",NAN,NAN,POSITIVE,3.0,4.0,4.0,3.0,,"San Antonio, TX",Fulfullment Associate,,pay want go college,lot work,1.0,2.0,pay want go college lot work,0.0,0.0,negative,Glassdoor,,,,,,,,,Other
35.0,2025-03-24T00:00:00.000Z,2,REGULAR,Current employees,NEGATIVE,NAN,NEGATIVE,4.0,3.0,3.0,4.0,,"Ajax, ON",Warehouse Associate,,good pay benefits good people safety first,biased management work like robots growthopportunities,1.0,4.0,good pay benefits good people safety first biased management work like robots growthopportunities,0.55,0.5111111111,positive,Glassdoor,,,,,,,,"Burnout, Infrastructure, Management, Benefits",Full-Time Associate
36.0,2025-03-20T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0.0,0.0,3.0,0.0,,"Grand Rapids, MI",Warehouse Team Member,,close home,gloves strong enough,0.0,0.0,close home gloves strong enough,0.2166666667,0.6166666667,positive,Glassdoor,,,,,,,,,Other
38.0,2025-03-19T00:00:00.000Z,1,PART_TIME,"Former employee, less than 1 year",NAN,NAN,NAN,0.0,0.0,4.0,0.0,,"West Jefferson, OH",Associate,,name,name,0.0,0.0,name name,0.0,0.0,negative,Glassdoor,,,,,,,,,Other
39.0,2025-03-18T00:00:00.000Z,1,CONTRACT,"Former employee, less than 1 year",POSITIVE,APPROVE,POSITIVE,4.0,5.0,5.0,4.0,,"Brampton, ON",Warehouse Associate,,good work culture pay also events extracurriculam activity,quiet racist employee belong one group race,5.0,5.0,good work culture pay also events extracurriculam activity quiet racist employee belong one group race,0.35,0.4666666667,positive,Glassdoor,,,,,,,,Burnout,Other
40.0,2025-03-18T00:00:00.000Z,2,REGULAR,Current employees,NAN,NAN,NAN,5.0,5.0,5.0,5.0,,"London, ON",Associate,,work life balance benefits,mandatory extra time required,5.0,5.0,work life balance benefits mandatory extra time required,0.0,0.1,negative,Glassdoor,,,,,,,,Benefits,Full-Time Associate
41.0,2025-03-13T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,POSITIVE,3.0,2.0,4.0,4.0,,,AA(Amazon Associate),,pay benefits really good,toxic work environment favoritism,4.0,5.0,pay benefits really good toxic work environment favoritism,0.7,0.6,positive,Glassdoor,,,,,,,,"Infrastructure, Management, Benefits",Full-Time Associate
42.0,2025-03-12T00:00:00.000Z,0,PART_TIME,Former employee,NAN,NAN,NAN,0.0,0.0,4.0,0.0,,"Mississauga, ON",Warehouse Worker,,attractive pay employee benefits,contractual basis hiring based business need,0.0,0.0,attractive pay employee benefits contractual basis hiring based business need,0.8,1.0,positive,Glassdoor,,,,,,,,Benefits,Other
43.0,2025-03-08T00:00:00.000Z,0,REGULAR,Current employee,POSITIVE,APPROVE,POSITIVE,5.0,5.0,4.0,1.0,,,Mozo De Almacen,tener coche propio ya que hay manera de trasladarse en transporte público,muy buenos beneficios exelente ambiente de trabajo ambiente de trabajo muy seguro posibilidad de hacer carrera dentro de la empresa,salario esta mal pero se podría mejorar mucho más para el trabajo que se hace allí horarios rotativos te permite crear hábitos saludables ya que constantemente estás cambiando tu rutina diaria trabajo fines de semana trabajo muy repetitivo,3.0,3.0,muy buenos beneficios exelente ambiente de trabajo ambiente de trabajo muy seguro posibilidad de hacer carrera dentro de la empresa salario esta mal pero se podría mejorar mucho más para el trabajo que se hace allí horarios rotativos te permite crear hábitos saludables ya que constantemente estás cambiando tu rutina diaria trabajo fines de semana trabajo muy repetitivo,0.0,0.0,negative,Glassdoor,,,,,,,,,Other
44.0,2025-03-07T00:00:00.000Z,4,REGULAR,Former employees,NEGATIVE,DISAPPROVE,NEGATIVE,1.0,1.0,2.0,1.0,,"San Antonio, TX",Pathways Operations Manager,,pay comparable ops,poor work life balance lack leadership stressful job clear way promotion anyone help get,1.0,4.0,pay comparable ops poor work life balance lack leadership stressful job clear way promotion anyone help get,-0.15,0.4916666667,negative,Glassdoor,,,,,,,,"Burnout, Management",Management
45.0,2025-03-05T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,0.0,0.0,4.0,0.0,,"Bolton, ON",Warehouse Associate,,career choice program great way start new career good benefits,coworkers speak non english infront,0.0,0.0,career choice program great way start new career good benefits coworkers speak non english infront,0.4090909091,0.4511363636,positive,Glassdoor,,,,,,,,Benefits,Full-Time Associate
46.0,2025-03-03T00:00:00.000Z,0,PART_TIME,Current employee,NAN,NAN,NAN,0.0,0.0,5.0,0.0,,"Waukegan, IL",FC Associate,,room excel position,extra shifts never available,0.0,0.0,room excel position extra shifts never available,-0.1,0.25,negative,Glassdoor,,,,,,,,,Other
47.0,2025-03-03T00:00:00.000Z,2,PART_TIME,Current employees,NAN,NAN,NAN,4.0,4.0,5.0,5.0,,"Kent, WA",Flex Associate,,choose hours work bad get use,could moved around lot depending different departments sometimes hard find shifts want work,5.0,4.0,choose hours work bad get use could moved around lot depending different departments sometimes hard find shifts want work,-0.3305555556,0.6027777778,negative,Glassdoor,,,,,,,,,Other
48.0,2025-03-03T00:00:00.000Z,2,REGULAR,Current employees,NEUTRAL,APPROVE,POSITIVE,5.0,5.0,3.0,2.0,,,FC Associate I,provide everyone equal chance make managers responsible towards associates bcz sometimes associates dont know actual information ask help managers say hr safety team hiring positions specially paprocess assistant learning needs evaluated based ground level performance based connections relatives higher position get hired pa learning safety team needs responsible bcz mostly dont took actions managers needs productivity get promoted associates presurised maintain productivity compromise safety ultimately creates critical health issues associates associates got less work promoted learn new skills compared others favourite managers relatives plz stop fair everyone,pay benefits provide like maternity accommodation insurance,worklife balance continuous work without sitting almost location public transportation lack chance promotion new skills show giving fair chance everyone true ground level people certain community especially punjabis got promotions hr pa manager level lack support hr giving proper information actually need safety ground level compromised managers bcz want productivity get promotion people always praised managers got extrabenefits work able learn new skills hardworking associates,3.0,5.0,pay benefits provide like maternity accommodation insurance worklife balance continuous work without sitting almost location public transportation lack chance promotion new skills show giving fair chance everyone true ground level people certain community especially punjabis got promotions hr pa manager level lack support hr giving proper information actually need safety ground level compromised managers bcz want productivity get promotion people always praised managers got extrabenefits work able learn new skills hardworking associates,0.2037012987,0.4922186147,positive,Glassdoor,,,,,,,,"Infrastructure, Management, Benefits",Full-Time Associate
49.0,2025-03-02T00:00:00.000Z,2,REGULAR,Former employees,NEUTRAL,NO_OPINION,NEGATIVE,1.0,3.0,3.0,5.0,,"Bessemer, AL",Inbound Stower,understood safety risk thing rule something distract noise head 1011 hrs day day youre someone like kinda rough almost torturous let people listen music man lol,got plenty time mental stuff needed places would fired,company mightve contributed alot needed much time lmao,1.0,4.0,got plenty time mental stuff needed places would fired company mightve contributed alot needed much time lmao,0.2333333333,0.4666666667,positive,Glassdoor,,,,,,,,,Full-Time Stower
50.0,2025-03-01T00:00:00.000Z,4,PART_TIME,Current employees,NAN,NAN,NAN,0.0,0.0,5.0,0.0,,"Hawthorne, CA",Warehouse Associate,,great experience got see warehouse built ground,became repetitive point,0.0,0.0,great experience got see warehouse built ground became repetitive point,0.275,0.5,positive,Glassdoor,,,,,,,,Burnout,Other
51.0,2025-03-01T00:00:00.000Z,6,REGULAR,Current employees,NAN,NAN,NEGATIVE,1.0,1.0,1.0,4.0,,Sydney,IT Support Engineer,apply practices preach ensure followed employees lower tier organizations hierarchy train leaders make sure due deligence role training future leaders wont make bigger impact current leaders exercising bias toxic traits moving ladder,bit learning right place right team assigned right team member mentor,dont bother joining though financial perks since dont casualcontract roles contract cleverly worded get work weekendsnight shifts without offering weekendnight shift allowances oncall pay either reimburse mobile bills seen culture departments excessive flattery towards leadership playing office politics seeking favoritism leadership appeasing leadership personal gain unhealthy admiration authority prioritizing leadership approval team collaboration performing leadership rather contributing meaningfully dysfunctional work environment hostile workplace dynamics unhealthy team culture negative organizational climate counterproductive work atmosphere culture fear favoritism lack psychological safety workplace unprofessional unsupportive work environment workplace toxicity favoritism,1.0,1.0,bit learning right place right team assigned right team member mentor dont bother joining though financial perks since dont casualcontract roles contract cleverly worded get work weekendsnight shifts without offering weekendnight shift allowances oncall pay either reimburse mobile bills seen culture departments excessive flattery towards leadership playing office politics seeking favoritism leadership appeasing leadership personal gain unhealthy admiration authority prioritizing leadership approval team collaboration performing leadership rather contributing meaningfully dysfunctional work environment hostile workplace dynamics unhealthy team culture negative organizational climate counterproductive work atmosphere culture fear favoritism lack psychological safety workplace unprofessional unsupportive work environment workplace toxicity favoritism,0.01448412698,0.5117063492,negative,Glassdoor,,,,,,,,"Infrastructure, Management",Other
52.0,2025-03-01T00:00:00.000Z,2,REGULAR,Former employees,POSITIVE,APPROVE,POSITIVE,5.0,5.0,4.0,4.0,,"Whitestown, IN",Warehouse Associate,better pay hire opportunity insurance employees,good place work lots hours keep busy time,cons low pay insurance temp service position,5.0,1.0,good place work lots hours keep busy time cons low pay insurance temp service position,0.2666666667,0.4,positive,Glassdoor,,,,,,,,Benefits,Full-Time Associate
53.0,2025-02-27T00:00:00.000Z,4,REGULAR,Former employees,NAN,DISAPPROVE,NEGATIVE,1.0,1.0,1.0,1.0,,,Operations Manager,value honesty ethics treat people better promote based results politics set regional records unable get promoted since wouldn’t lie hr situations agm apart shady,stocks given bonuses take 34 years fully vest negative,expectation work 7 days per week always available via phone even work 12 hours expected you’re home upper management promotions based achievements team response ‘yes man’ last gmagm extremely unethical promoted people would lie also fudged numbers,1.0,2.0,stocks given bonuses take 34 years fully vest negative expectation work 7 days per week always available via phone even work 12 hours expected you’re home upper management promotions based achievements team response ‘yes man’ last gmagm extremely unethical promoted people would lie also fudged numbers,-0.02083333333,0.3777777778,negative,Glassdoor,,,,,,,,"Infrastructure, Management",Management
54.0,2025-02-26T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0.0,0.0,3.0,0.0,,"Dallas, TX",Inbound Stower,,easy job move desired,physically demanding care rates,0.0,0.0,easy job move desired physically demanding care rates,0.2166666667,0.4880952381,positive,Glassdoor,,,,,,,,"Burnout, Infrastructure",Full-Time Stower
55.0,2025-02-26T00:00:00.000Z,2,REGULAR,Current employees,POSITIVE,APPROVE,POSITIVE,5.0,5.0,5.0,5.0,,"St. Thomas, ON",Inbound Receive Dock,improve break times workload balance reduce fatigue increase employee retention,competitive pay benefits opportunity career growth fastpaced active work environment teamoriented workplace culture training provided experience required,repetitive tasks exhausting,5.0,5.0,competitive pay benefits opportunity career growth fastpaced active work environment teamoriented workplace culture training provided experience required repetitive tasks exhausting,-0.2611111111,0.45,negative,Glassdoor,,,,,,,,"Burnout, Infrastructure, Benefits",Other
56.0,2025-02-25T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0.0,0.0,3.0,0.0,,"Illiopolis, IL",Operations Manager,,insane scope opportunities perks part huge company,untalented people sr positions gone far playing politics hard advance dont agreeable personanlity,0.0,0.0,insane scope opportunities perks part huge company untalented people sr positions gone far playing politics hard advance dont agreeable personanlity,-0.1979166667,0.8604166667,negative,Glassdoor,,,,,,,,,Management
57.0,2025-02-25T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NEUTRAL,NO_OPINION,POSITIVE,4.0,5.0,4.0,2.0,,"Joliet, IL",Seasonal Warehouse Associate,,pay peak timebonus payhours chill staff,labor lack available resourcespeople workers requests troubles job apppay,3.0,5.0,pay peak timebonus payhours chill staff labor lack available resourcespeople workers requests troubles job apppay,0.4,0.4,positive,Glassdoor,,,,,,,,Management,Full-Time Associate
58.0,2025-02-25T00:00:00.000Z,2,FREELANCE,Former employees,NAN,NAN,NAN,5.0,5.0,5.0,5.0,,"San Francisco, CA",Seller,,flexible schedule adjust time,much competition sometimes gotta lower prices much get deal good profit,5.0,5.0,flexible schedule adjust time much competition sometimes gotta lower prices much get deal good profit,0.3666666667,0.3333333333,positive,Glassdoor,,,,,,,,,Other
59.0,2025-02-25T00:00:00.000Z,0,REGULAR,Current employee,POSITIVE,APPROVE,POSITIVE,5.0,5.0,5.0,5.0,,"Swindon, Wiltshire, South West England, England",AA(Amazon Associate),,good working environment good pay,heavy lifting sometimes stressful,5.0,5.0,good working environment good pay heavy lifting sometimes stressful,0.4,0.5666666667,positive,Glassdoor,,,,,,,,"Burnout, Infrastructure, Benefits",Full-Time Associate
60.0,2025-02-21T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0.0,0.0,3.0,0.0,,"Fort Wayne, IN",Picker,,easiest job ever,get rid whenever want,0.0,0.0,easiest job ever get rid whenever want,0.0,0.0,negative,Glassdoor,,,,,,,,,Full-Time Picker/Packer
61.0,2025-02-21T00:00:00.000Z,4,REGULAR,Former employees,NAN,NAN,NAN,5.0,5.0,5.0,4.0,,Orléans,HRA,,très bonne école salaires généreux et cb avantageux,demande un investissement personnel important,5.0,5.0,très bonne école salaires généreux et cb avantageux demande un investissement personnel important,0.4,1.0,positive,Glassdoor,,,,,,,,,Other
63.0,2025-02-18T00:00:00.000Z,4,REGULAR,Current employees,NEUTRAL,APPROVE,POSITIVE,3.0,3.0,4.0,4.0,,"San Antonio, TX",L1 Associate,,name,name,3.0,4.0,name name,0.0,0.0,negative,Glassdoor,,,,,,,,,Full-Time Associate
64.0,2025-02-18T00:00:00.000Z,9,REGULAR,Current employees,POSITIVE,NO_OPINION,POSITIVE,4.0,3.0,4.0,3.0,,"Carrollton, TX",Sr Program Manager,trust team get job done reward,growth amp development relationships innovation fun actual work awesome,cons would job,3.0,3.0,growth amp development relationships innovation fun actual work awesome cons would job,0.4333333333,0.4333333333,positive,Glassdoor,,,,,,,,,Management
65.0,2025-02-18T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,0.0,0.0,5.0,0.0,,"Brampton, ON",Warehouse Associate,,good benefits environment team work great pay,don’t think downside,0.0,0.0,good benefits environment team work great pay don’t think downside,0.75,0.675,positive,Glassdoor,,,,,,,,"Infrastructure, Benefits",Full-Time Associate
